#Table: J/AJ/155/201/table8.dat (http://cdsarc.cds.unistra.fr)
-------------------------------------------------------------------------------------------
SN                     |        MJD|    Phase|Filter|     mag|  e_mag|       Flux|       e_
-----------------------|-----------|---------|------|--------|-------|-----------|---------
CSS121009:011101-172841|56234.27359| 14.27359|WHIRCJ|18.97756|0.05157|   256.4340|  12.1698
CSS121009:011101-172841|56229.31361|  9.31361|WHIRCH|18.64361|0.04781|   348.7850|  15.3479
CSS121009:011101-172841|56229.28541|  9.28541|WHIRCJ|19.27324|0.07101|   195.3014|  12.7551
CSS121009:011101-172841|56234.22657| 14.22657|WHIRCH|18.53778|0.04162|   384.4939|  14.7330
CSS121114:090202+101800|56254.50847|  2.50847|WHIRCH|18.08766|0.02963|   582.0156|  15.8819
CSS121114:090202+101800|56257.45088|  5.45088|WHIRCH|18.29991|0.02746|   478.6713|  12.1028
CSS121114:090202+101800|56262.48385| 10.48385|WHIRCH|18.39446|0.03869|   438.7490|  15.6268
CSS121114:090202+101800|56254.52481|  2.52481|WHIRCJ|18.39741|0.02063|   437.5576|   8.3115
CSS121114:090202+101800|56257.46387|  5.46387|WHIRCJ|18.84659|0.02922|   289.3104|   7.7855
CSS121114:090202+101800|56262.49573| 10.49573|WHIRCJ|19.18741|0.04400|   211.3655|   8.5610
LSQ12fhs               |56229.18441| 14.18441|WHIRCH|17.62670|0.04234|   889.8578|  34.6828
LSQ12fhs               |56262.09874| 47.09874|WHIRCJ|19.29963|0.05243|   190.6111|   9.1971
LSQ12fhs               |56254.09366| 39.09366|WHIRCJ|19.07615|0.05002|   234.1756|  10.7798
LSQ12fhs               |56234.19517| 19.19517|WHIRCJ|18.20453|0.02412|   522.6215|  11.6097
LSQ12fhs               |56229.20190| 14.20190|WHIRCJ|18.10289|0.04167|   573.9127|  22.0156
LSQ12fhs               |56262.06478| 47.06478|WHIRCH|18.74395|0.07230|   317.9950|  21.1452
LSQ12fhs               |56254.11603| 39.11603|WHIRCH|18.39693|0.04528|   437.7520|  18.2472
LSQ12fhs               |56234.18017| 19.18017|WHIRCH|17.71930|0.03340|   817.1110|  25.1270
LSQ12fmx               |56229.35056|  2.35056|WHIRCH|19.36719|0.04266|   179.1119|   7.0333
LSQ12fmx               |56257.27331| 30.27331|WHIRCH|19.59783|0.04753|   144.8337|   6.3364
LSQ12fmx               |56262.34668| 35.34668|WHIRCH|19.83690|0.11267|   116.2093|  12.0162
LSQ12fmx               |56229.39756|  2.39756|WHIRCJ|19.29668|0.03715|   191.1294|   6.5379
LSQ12fmx               |56234.38407|  7.38407|WHIRCH|19.96764|0.09762|   103.0255|   9.2385
LSQ12fmx               |56234.43086|  7.43086|WHIRCJ|19.95668|0.09658|   104.0702|   9.2334
LSQ13cmt               |56584.31926|  9.31926|WHIRCH|18.18813|0.04625|   530.5772|  22.5891
LSQ13cmt               |56581.28436|  6.28436|WHIRCJ|17.99420|0.02952|   634.3391|  17.2411
LSQ13cmt               |56586.32803| 11.32803|WHIRCJ|18.80891|0.06029|   299.5273|  16.6163
LSQ13cmt               |56586.30561| 11.30561|WHIRCH|18.35185|0.05018|   456.3114|  21.0734
LSQ13cmt               |56581.26194|  6.26194|WHIRCH|18.03593|0.03894|   610.4191|  21.8811
LSQ13cwp               |56617.29790| 11.29790|WHIRCJ|19.48204|0.08557|   161.1329|  12.6736
LSQ13cwp               |56608.42282|  2.42282|WHIRCJ|18.65466|0.04892|   345.2521|  15.5457
LSQ13cwp               |56640.28729| 34.28729|WHIRCJ|19.42432|0.07656|   169.9309|  11.9625
LSQ13cwp               |56640.26270| 34.26270|WHIRCH|19.05540|0.09231|   238.6924|  20.2450
LSQ13cwp               |56617.21589| 11.21589|WHIRCH|18.86661|0.09072|   284.0236|  23.6771
LSQ13cwp               |56608.38579|  2.38579|WHIRCH|18.72881|0.06739|   322.4610|  19.9895
LSQ13cwp               |56636.36635| 30.36635|WHIRCJ|20.30477|0.25482|    75.5255|  17.4069
PS1-13dkh              |56584.43367| 12.43367|WHIRCH|17.51395|0.01467|   987.2354|  13.3347
PS1-13dkh              |56608.33839| 36.33839|WHIRCH|17.63576|0.01837|   882.4650|  14.9275
PS1-13dkh              |56584.44199| 12.44199|WHIRCJ|18.34259|0.01582|   460.2196|   6.7042
PS1-13dkh              |56608.35287| 36.35287|WHIRCJ|18.19634|0.02087|   526.5785|  10.1212
PS1-13dkh              |56636.19904| 64.19904|WHIRCJ|19.59913|0.10234|   144.6604|  13.5949
PS1-13dkh              |56636.18417| 64.18417|WHIRCH|18.68953|0.16637|   334.3385|  50.8355
